ANNO	NOME_ATENEO	REGIONE	AREA_GEO	COD_QUALIFICA	DESC_QUALIFICA	GRADE	AREA_SD	FoRD	GENERE	N_AcStaff
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	179
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	477
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	269
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	592
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	444
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	356
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	136
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	178
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	985
2020	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	545
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	162
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	436
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	235
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	571
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	392
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	334
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	112
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	152
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	967
2019	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	487
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	152
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	430
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	222
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	518
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	408
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	334
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	112
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	169
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	961
2018	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	471
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	119
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	402
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	231
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	487
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	428
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	318
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	121
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	168
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	1014
2017	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	503
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	117
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	347
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	245
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	508
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	434
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	359
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	123
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	168
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	1094
2016	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	548
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	131
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	416
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	226
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	452
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	456
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	383
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	139
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	177
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	1034
2015	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	538
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	167
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	458
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	303
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	665
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	576
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	453
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	146
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	209
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	1202
2014	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	584
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	174
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	415
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	281
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	625
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	611
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	479
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	161
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	233
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	1221
2013	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	599
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	F	173
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	01-Scienze matematiche e informatiche	01-Natural sciences	M	395
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	F	270
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	02-Scienze fisiche	01-Natural sciences	M	567
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	F	590
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	03-Scienze chimiche	01-Natural sciences	M	442
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	F	157
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	04-Scienze della terra	01-Natural sciences	M	222
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	F	1236
2012	TOTALE ATENEI	ITALIA	ITALIA	4AR	Titolare di assegno di ricerca	D	05-Scienze biologiche	01-Natural sciences	M	585
